,200000_201500_train_weight,200000_201500_train_std,200000_201500_val_weight,200000_201500_val_std,200100_201600_train_weight,200100_201600_train_std,200100_201600_val_weight,200100_201600_val_std,200200_201700_train_weight,200200_201700_train_std,200200_201700_val_weight,200200_201700_val_std,200300_201800_train_weight,200300_201800_train_std,200300_201800_val_weight,200300_201800_val_std,200400_201900_train_weight,200400_201900_train_std,200400_201900_val_weight,200400_201900_val_std,200500_202000_train_weight,200500_202000_train_std,200500_202000_val_weight,200500_202000_val_std
1_Inventory_sft_2,-1.7881393432617187e-08,3.5762786865234374e-08,-3.5762786865234374e-08,7.276650649085928e-07,,,,,3.5762786865234374e-08,1.1920928955078127e-08,5.960464477539063e-09,1.1920928955078126e-08,0.0,0.0,0.0,0.0,-4.1723251342773435e-08,1.3407733296396723e-07,2.9802322387695312e-08,0.0,0.0,0.0,0.0,0.0
1_Inventory_sft_3,-1.9073486328125e-07,2.1374727579404247e-07,-1.1861324310302734e-06,7.03587325073485e-07,,,,,0.0,0.0,2.384185791015625e-08,1.1920928955078127e-08,,,,,,,,,0.0,0.0,0.0,0.0
1_profit margin,5.8352947235107425e-06,1.7078993058264188e-06,9.012222290039062e-06,6.784794384634996e-06,-5.000829696655274e-06,9.817364498001605e-06,5.50389289855957e-05,4.938730014304651e-05,5.644559860229492e-06,7.4145063644574254e-06,-2.378225326538086e-05,3.3190823831188305e-05,7.62939453125e-07,5.313178228871001e-07,-8.58008861541748e-05,4.430322270554374e-05,0.00012481212615966797,1.9472482590175774e-05,1.7315149307250977e-05,5.8959147896927584e-05,0.0,0.0,0.0,0.0
1_profit margin_sft_1,4.726648330688476e-06,2.0896167768436738e-06,-1.437067985534668e-05,1.2962433017505362e-05,-1.0895729064941407e-05,1.9927532736582974e-05,4.464983940124512e-05,4.4776738862619456e-05,-2.8073787689208984e-05,2.661313682013767e-05,-3.47137451171875e-05,4.251548129907021e-05,-4.714727401733398e-06,2.9090730639586804e-06,-3.1441450119018555e-05,1.9575167199352167e-05,0.00013265609741210937,3.034652936596982e-05,-9.660124778747559e-05,0.00013454459781858717,0.0,0.0,0.0,0.0
1_profit margin_sft_2,4.6551227569580075e-06,2.936180703145576e-06,-1.8286705017089844e-05,1.0527631469521007e-05,,,,,3.516077995300293e-05,1.6567318756415718e-05,6.055831909179687e-06,3.172480609197466e-05,5.7220458984375e-07,9.355081440777068e-07,-5.359649658203125e-05,4.3004590524570226e-05,0.00011612772941589355,1.4633184293045048e-05,0.00024020075798034669,9.91322447540383e-05,0.0,0.0,0.0,0.0
1_profit margin_sft_3,1.4960765838623048e-06,8.989044438127926e-07,1.1324882507324219e-06,3.875860487613046e-06,,,,,3.135800361633301e-05,1.5458271282528458e-05,-8.283257484436035e-05,3.937482833862305e-05,,,,,,,,,0.0,0.0,0.0,0.0
20_CAPEX To Assets last year,9.81450080871582e-05,1.735146799936605e-05,-2.332925796508789e-05,6.507953658975396e-05,0.0005293011665344239,6.547572426107573e-05,-2.47955322265625e-06,0.000536106583509405,-0.00016552209854125977,7.818352183683109e-05,-0.0009377241134643554,0.000278335909586919,1.3756752014160157e-05,9.042627711164779e-06,5.099177360534668e-05,0.0001715778739227152,0.0028837442398071287,0.00010615226387667867,0.00029510855674743655,0.0007912619194974764,1.1920928955078126e-08,1.460009659995543e-08,-5.960464477539063e-09,1.1920928955078127e-08
20_CAPEX To Assets last year_sft_1,0.00018725395202636718,2.1426094847795604e-05,0.00015456080436706542,0.00015763648686237518,0.0010834395885467528,0.000292279635769513,0.0012482404708862305,0.0006189675037220744,-0.00179063081741333,0.000712688620176096,-0.00024093389511108397,0.0007715935150954784,3.961324691772461e-05,2.305838173871188e-05,2.854466438293457e-05,2.92487553235802e-05,0.0024191439151763916,0.00016527775378286894,0.00023006796836853028,0.0004706591896768561,0.0,0.0,-4.76837158203125e-08,2.3841857910156255e-08
20_CAPEX To Assets last year_sft_2,8.390545845031739e-05,1.7660139085716198e-05,-7.023215293884277e-05,5.120117949608507e-05,,,,,-0.00039337873458862306,0.00022400903646666636,-0.00023978352546691895,6.670600607574597e-05,4.98652458190918e-05,3.311970046942408e-06,-4.1651725769042966e-05,5.1838275042029456e-05,0.0025916218757629393,0.00019041813372730246,-0.00021388530731201172,0.0006693152096669846,-1.1920928955078126e-08,1.460009659995543e-08,-5.960464477539063e-09,1.1920928955078127e-08
20_CAPEX To Assets last year_sft_3,0.0001872241497039795,1.2292486571454682e-05,-9.28044319152832e-05,5.8495626080107376e-05,,,,,-0.0003720998764038086,0.00011689864004601062,0.00014333128929138183,0.00018370422716973328,,,,,,,,,0.0,0.0,-2.384185791015625e-08,2.920019319991086e-08
